"","x"
"771","C2orf47"
"772","SPATS2L"
"773","SGOL2"
"774","BZW1"
"775","NIF3L1"
"776","NDUFB3"
"777","CFLAR"
"778","CASP8"
"779","STRADB"
"780","TMEM237"
"781","SUMO1"
"782","NOP58"
"783","WDR12"
"784","NBEAL1"
"785","ABI2"
"786","NRP2"
"787","NDUFS1"
"788","EEF1B2"
"789","FASTKD2"
"790","METTL21A"
"791","IDH1"
"792","RPE"
"793","SPAG16"
"794","BARD1"
"795","ATIC"
"796","XRCC5"
"797","RPL37A"
"798","IGFBP2"
"799","ARPC2"
"800","AAMP"
"801","PNKD"
"802","TMBIM1"
"803","CTDSP1"
"804","BCS1L"
"805","FAM134A"
"806","ZFAND2B"
"807","STK16"
"808","TUBA4A"
"809","DNAJB2"
"810","DNPEP"
"811","CHPF"
"812","FARSB"
"813","ACSL3"
"814","MRPL44"
"815","CUL3"
"816","IRS1"
"817","MFF"
"818","AGFG1"
"819","SP100"
"820","ITM2C"
"821","PSMD1"
"822","NCL"
"823","PTMA"
"824","EIF4E2"
"825","GIGYF2"
"826","HJURP"
"827","SH3BP4"
"828","COPS8"
"829","MLPH"
"830","LRRFIP1"
"831","UBE2F"
"832","SCLY"
"833","ILKAP"
"834","HES6"
"835","NDUFA10"
"836","MYEOV2"
"837","GPC1"
"838","RNPEPL1"
"839","PPP1R7"
"840","HDLBP"
"841","STK25"
"842","BOK"
"843","THAP4"
"844","ATG4B"
"845","DTYMK"
"846","CRBN"
"847","SUMF1"
"848","BHLHE40"
"849","ARL8B"
"850","THUMPD3"
"851","SETD5"
"852","CAMK1"
"853","TADA3"
"854","ARPC4"
"855","RPUSD3"
"856","JAGN1"
"857","EMC3"
"858","BRK1"
"859","SEC13"
"860","VGLL4"
"861","PPARG"
"862","RPL32"
"863","CHCHD4"
"864","XPC"
"865","LSM3"
"866","SLC6A6"
"867","CCDC174"
"868","FGD5-AS1"
"869","MRPS25"
"870","ANKRD28"
"871","DPH3"
"872","RAB5A"
"873","SGOL1"
"874","UBE2E2"
"875","UBE2E1"
"876","RPL15"
"877","NGLY1"
"878","CMC1"
"879","AZI2"
"880","STT3B"
"881","CMTM8"
"882","CMTM7"
"883","CMTM6"
"884","DYNC1LI1"
"885","CRTAP"
"886","PDCD6IP"
"887","MLH1"
"888","LRRFIP2"
"889","GOLGA4"
"890","CTDSPL"
"891","ACAA1"
"892","CSRNP1"
"893","SLC25A38"
"894","RPSA"
"895","EIF1B"
"896","RPL14"
"897","SEC22C"
"898","SS18L2"
"899","NKTR"
"900","HIGD1A"
"901","ABHD5"
